category,card,mult
airfare,plat,5
airfare,csr,3
airfare,gold,3
airfare,green,3
airfare,premier,3
airfare,csp,2.1
default,double,2
default,venturex,2
default,cfu,1.5
default,everyday,1.2
default,pref,1.5
freedom,cff,5
gas,pref,3
gas,premier,3
groceries,pref,4.5
groceries,gold,4
groceries,premier,3
groceries,everyday,2.4
groceries-noamex,premier,3
hotels,csr,3
hotels,green,3
hotels,premier,3
hotels,csp,2.1
rest,gold,4
rest,csr,3
rest,csp,3.1
rest,cfu,3
rest,green,3
rest,premier,3
rest-noamex,csr,3
rest-noamex,csp,3.1
rest-noamex,cfu,3
rest-noamex,premier,3
travel,csr,3
travel,green,3
travel,csp,2.1
