category,card,mult
airfare,cfu,1.5
airfare,csp,2.1
airfare,csr,3
airfare,double,2
airfare,gold,3
airfare,green,3
airfare,plat,5
airfare,premier,3
airfare,prestige,5
freedom,cff,5
gas,cfu,1.5
gas,double,2
gas,pref,3
gas,premier,3
groceries,cfu,1.5
groceries,double,2
groceries,everyday,2.4
groceries,gold,4
groceries,pref,4.5
groceries,premier,3
hotels,cfu,1.5
hotels,csp,2.1
hotels,csr,3
hotels,double,2
hotels,green,3
hotels,premier,3
hotels,prestige,3
other,cfu,1.5
other,double,2
other,pref,1.5
rest,cfu,3
rest,csp,3.1
rest,double,2
rest,gold,4
rest,green,3
rest,premier,3
rest,prestige,5
rest-noamex,cfu,3
rest-noamex,csp,3.1
rest-noamex,double,2
rest-noamex,premier,3
rest-noamex,prestige,5
travel,cfu,1.5
travel,csp,2.1
travel,csr,3
travel,double,2
travel,green,3
